#Supplementary Table 5. All 689 ENCODE profile feature.		
Feature	Number of positive variants	Number of negative variants
DNase-seq	26598	3474839
ATAC-seq	7846	408361
SMARCB1	178	3084
FLAG-ZNF48	2206	38642
FOXK2	2812	39984
MYC	4709	92101
SMARCA4	3056	81251
eGFP-SP3	2503	28373
eGFP-AEBP2	37	1375
FLAG-SOX5	2177	35330
eGFP-ZNF292	14	1343
FLAG-SOX13_isoform1	1800	28821
eGFP-ZNF544	32	1482
GATAD2A	847	12133
BRCA1	438	3213
FLAG-GMEB2	752	4753
eGFP-CREB3	796	14392
NANOG	251	4639
ETV4	1747	20484
FLAG-KLF11	1304	19565
NR3C1	1762	32870
CC2D1A	1597	26452
TRIM25	114	4112
BCL11A	533	12520
USF1	2301	37722
ARNT	2152	43480
FLAG-TGIF2	1544	21585
NCOR1	2418	36202
FLAG-MXD3_isoform1	1257	14463
eGFP-ZNF584	1101	23977
FLAG-SMAD4	2035	31509
ZNF207	1327	19029
FLAG-ZNF3	500	10140
FLAG-CEBPG	1623	30356
eGFP-ZNF692	1914	34983
eGFP-BCL6B	222	7303
eGFP-ZNF837	80	1595
FLAG-RFX3_isoform1	382	4078
PAX5	1825	27479
eGFP-GLIS1	2151	55742
MAX	5037	105582
eGFP-HINFP	328	6130
SNRNP70	41	1046
HDAC6	49	936
MXI1	3041	62414
eGFP-ZSCAN16	273	5687
MAFF	1336	37188
eGFP-HDAC8	674	11518
EGR1	3134	49457
eGFP-SALL2	82	2085
eGFP-ZFP69B	1273	22035
eGFP-TFDP1	1822	32339
ZBTB11	929	7293
LARP7	1485	27385
ZNF407	331	4976
eGFP-ZNF311	27	1880
POLR2AphosphoS2	1699	32920
ZBED1	1097	20034
TRIM24	2199	36044
BCLAF1	1452	25706
eGFP-ZSCAN5A	500	6895
PBX3	450	6046
MGA	2094	40679
eGFP-ZNF148	134	2975
FLAG-PPARG	1328	20904
E2F6	2185	25804
ELF4	2025	20901
KDM1A	3602	118660
eGFP-ZNF629	2275	42538
eGFP-VEZF1	3331	51519
FLAG-BCL6_isoform1	1810	29804
TRIM22	2249	60027
SKIL	2563	47820
GTF2F1	1795	20294
ZC3H11A	251	7362
ZEB2	2087	35670
eGFP-ZNF354C	24	1195
NFE2L2	1067	15434
FLAG-KLF9	923	10725
FLAG-SLC30A9	1176	16642
eGFP-ZFX	1937	29908
eGFP-ZNF654	699	24819
MITF	688	5782
EP300	4567	109612
IRF1	2310	20940
WDR5	513	4715
NFXL1	212	9867
DDX20	1087	10812
ZNF318	743	10195
RBM22	559	26297
eGFP-ZFP64	8	3819
ZEB1	454	5183
TBL1XR1	2096	27830
eGFP-ZNF266	67	3986
