#Supplementary Table 6. All ENCODE profiles informations.				
Accession	Cell type / Tissue	Feature	Treatment	Download link
ENCFF448YCS	transverse colon	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF448YCS/@@download/ENCFF448YCS.bed.gz
ENCFF300JSP	gastroesophageal sphincter	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF300JSP/@@download/ENCFF300JSP.bed.gz
ENCFF622DLW	gastrocnemius medialis	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF622DLW/@@download/ENCFF622DLW.bed.gz
ENCFF464XDH	gastrocnemius medialis	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF464XDH/@@download/ENCFF464XDH.bed.gz
ENCFF172PGL	heart left ventricle	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF172PGL/@@download/ENCFF172PGL.bed.gz
ENCFF146IYB	thyroid gland	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF146IYB/@@download/ENCFF146IYB.bed.gz
ENCFF309XOA	breast epithelium	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF309XOA/@@download/ENCFF309XOA.bed.gz
ENCFF993WJB	breast epithelium	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF993WJB/@@download/ENCFF993WJB.bed.gz
ENCFF890IWA	breast epithelium	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF890IWA/@@download/ENCFF890IWA.bed.gz
ENCFF733BTE	sigmoid colon	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF733BTE/@@download/ENCFF733BTE.bed.gz
ENCFF276VQT	ovary	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF276VQT/@@download/ENCFF276VQT.bed.gz
ENCFF296IYO	adrenal gland	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF296IYO/@@download/ENCFF296IYO.bed.gz
ENCFF169UNE	spleen	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF169UNE/@@download/ENCFF169UNE.bed.gz
ENCFF716JWT	gastrocnemius medialis	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF716JWT/@@download/ENCFF716JWT.bed.gz
ENCFF210COD	stomach	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF210COD/@@download/ENCFF210COD.bed.gz
