ENCFF599VIR	endodermal-cell|H3K4me3|None
ENCFF143GDH	MM.1S|H3K4me1|None
ENCFF668IPJ	neural-progenitor-cell|H3K4me1|None
ENCFF369QNB	breast-epithelium|H3K4me3|None
ENCFF805VHZ	CD14-positive-monocyte|H3K9ac|None
ENCFF230BCM	IMR-90|H3K9ac|None
ENCFF466NRJ	epithelial-cell-of-proximal-tubule|H3K4me3|None
ENCFF601CVT	OCI-LY7|H3K9me2|None
ENCFF552LNJ	MM.1S|H3K4me3|None
ENCFF498HQV	IMR-90|H3K56ac|None
ENCFF490ICV	SK-N-MC|H3K27ac|None
ENCFF642IBN	H1-hESC|H3K14ac|None
ENCFF146DDP	HUES6|H3K4me3|None
ENCFF657MIQ	endothelial-cell-of-umbilical-vein|H3K4me3|None
ENCFF985YWP	Karpas-422|H3K36me3|None
ENCFF885KMI	HUES6|H3K27me3|None
ENCFF396BLZ	Panc1|H3K27ac|None
ENCFF873FBM	mesenchymal-stem-cell|H3K4me2|None
ENCFF418JMO	WERI-Rb-1|H3K4me3|None
ENCFF722WLN	Panc1|H3K27me3|None
ENCFF250HTP	ES-I3|H3K9me3|None
ENCFF799LFQ	osteoblast|H3K27ac|None
ENCFF385GUX	H9|H3K9ac|None
ENCFF383ANE	GM06990|H3K36me3|None
ENCFF993FPN	MCF-7|H3F3A|None
ENCFF019FUF	OCI-LY3|H3K9ac|None
ENCFF731CHG	fibroblast-of-lung|H3K27ac|None
ENCFF771IYF	mesendoderm|H3K36me3|None
ENCFF938HJZ	osteoblast|H4K20me1|None
ENCFF852JYN	fibroblast-of-dermis|H3K4me2|None
ENCFF988FQM	SK-N-SH|H3K4me3|all-trans-retinoic-acid
ENCFF677KGT	A549|H4K20me1|ethanol
ENCFF210DMC	WI38|H3K4me3|None
ENCFF927IEG	ACC112|H3K27me3|None
ENCFF053LMS	GM06990|H3K27me3|None
ENCFF580OUF	SK-N-MC|H3K4me3|None
ENCFF085NAA	Loucy|H3K9me3|None
ENCFF259LYY	Caco-2|H3K36me3|None
ENCFF949ADL	iPS-DF-19.11|H3K27me3|None
ENCFF158BJO	osteoblast|H2AFZ|None
ENCFF431KQA	neural-cell|H3K36me3|None
ENCFF824ELD	neural-cell|H3K27me3|None
ENCFF510LKP	HeLa-S3|H3K9ac|None
ENCFF736WAN	H1-hESC|H3K36me3|None
ENCFF749NUK	GM12864|H3K4me3|None
ENCFF258BVG	B-cell|H3K4me3|None
ENCFF718MIB	OCI-LY1|H2AFZ|None
ENCFF106QVP	ES-I3|H3K4me3|None
ENCFF399YHU	trophoblast-cell|H3K4me1|None
ENCFF298ECX	fibroblast-of-lung|H2AFZ|None
ENCFF233MCK	bronchial-epithelial-cell|H3K4me3|None
ENCFF259AMV	iPS-DF-6.9|H3K36me3|None
ENCFF549FQX	HeLa-S3|H3K27me3|None
ENCFF365NVL	adrenal-gland|H3K4me1|None
ENCFF712HCL	mesendoderm|H2BK5ac|None
ENCFF763XMA	IMR-90|H2BK120ac|None
ENCFF971SSW	endothelial-cell-of-umbilical-vein|H3K9me3|None
ENCFF306KRD	SK-N-MC|H3K9ac|None
ENCFF540BRW	mesenchymal-stem-cell|H2BK5ac|None
ENCFF349LKU	HCT116|H3K27ac|None
ENCFF088UXI	OCI-LY1|H4K20me1|None
ENCFF504RYJ	OCI-LY3|H3K4me3|None
ENCFF104XAL	mesendoderm|H3K79me2|None
ENCFF417WJY	neural-progenitor-cell|H3K4me2|None
ENCFF936DWE	B-cell|H4K20me1|None
ENCFF243CQX	OCI-LY3|H2AFZ|None
ENCFF657XGG	mammary-epithelial-cell|H4K20me1|None
ENCFF680UEY	mononuclear-cell|H3K4me3|None
ENCFF797XRZ	OCI-LY3|H3K4me2|None
ENCFF757LWY	iPS-DF-6.9|H3K27me3|None
ENCFF717AMW	fibroblast-of-gingiva|H3K4me3|None
ENCFF126HJS	DND-41|H3K79me2|None
ENCFF304FVZ	PC-3|H3K4me2|None
ENCFF950CZM	fibroblast-of-pedal-digit-skin|H3K4me3|None
ENCFF755EKI	PC-9|H3K4me3|None
ENCFF045ELD	HCT116|H3K9me2|None
ENCFF396SLO	DOHH2|H3K79me2|None
ENCFF486ZYY	neural-stem-progenitor-cell|H3K4me3|None
ENCFF676YVX	astrocyte|H3K27ac|None
ENCFF973DRL	DND-41|H3K36me3|None
ENCFF317DBF	IMR-90|H3K23ac|None
ENCFF105SLN	DOHH2|H3K9me2|None
ENCFF108JKZ	GM12878|H3K4me2|None
ENCFF946MXS	CD14-positive-monocyte|H3K27me3|None
ENCFF401HOA	iPS-20b|H3K4me3|None
ENCFF732AVU	DOHH2|H3K4me1|None
ENCFF037JZB	mammary-epithelial-cell|H3K9me3|None
ENCFF302MFG	PC-3|H3K27ac|None
ENCFF543SLH	OCI-LY7|H3K4me3|None
ENCFF289NJD	cardiac-muscle-cell|H3K27me3|None
ENCFF366DWC	SUDHL6|H3K27me3|None
ENCFF565IZP	HFF-Myc|H3K4me3|None
ENCFF776KYJ	VCaP|H3K27ac|None
ENCFF653ZCJ	fibroblast-of-lung|H3K4me1|None
ENCFF123QID	PC-3|H3K27me3|None
ENCFF493YLO	Caco-2|H3K27me3|None
ENCFF993QQW	vagina|H3K27ac|None
ENCFF593TID	IMR-90|H2BK12ac|None
ENCFF812AAR	neural-stem-progenitor-cell|H3K23ac|None
ENCFF917DQH	PC-9|H3K9ac|None
ENCFF694ENI	H1-hESC|H3K4me1|None
ENCFF509LTF	Loucy|H3F3A|None
ENCFF124FPD	neural-cell|H3K9ac|None
ENCFF870YTV	NCI-H929|H3K4me3|None
ENCFF428KUR	H9|H3K18ac|None
ENCFF452DAM	skeletal-muscle-myoblast|H3K36me3|None
ENCFF099AIG	OCI-LY3|H3K27me3|None
ENCFF813BXP	DND-41|H3K27ac|None
ENCFF201ZEX	Loucy|H3K79me2|None
ENCFF862DOX	fibroblast-of-lung|H3K4me2|None
ENCFF257VHT	fibroblast-of-dermis|H3K9me3|None
ENCFF249APF	CD14-positive-monocyte|H4K20me1|None
ENCFF011GWS	mesenchymal-stem-cell|H3K4me3|None
ENCFF136JCP	hepatocyte|H3K9me3|None
ENCFF916DCD	mesendoderm|H3K4me2|None
ENCFF475YWE	right-lobe-of-liver|H3K27ac|None
ENCFF677NKI	cardiac-muscle-cell|H3K9me3|None
ENCFF897KEO	iPS-DF-19.11|H3K4me1|None
ENCFF851FNE	H1-hESC|H3K23ac|None
ENCFF713AXG	trophoblast-cell|H3K9me3|None
ENCFF754PUG	neuroepithelial-stem-cell|H3K27ac|None
ENCFF679UGD	MCF-7|H3K4me2|None
ENCFF098LYR	MCF-7|H3K9me3|None
ENCFF545OWM	muscle-of-leg|H3K9me3|None
ENCFF749BII	skeletal-muscle-myoblast|H3K4me1|None
ENCFF484BIL	Karpas-422|H2AFZ|None
ENCFF273OXZ	mesendoderm|H3K27me3|None
ENCFF813WTV	PC-3|H4K20me1|None
ENCFF730LUI	ACC112|H3K36me3|None
ENCFF959CUU	DND-41|H4K20me1|None
ENCFF445HCF	cardiac-muscle-cell|H3K36me3|None
ENCFF655BVR	HUES64|H3K9ac|None
ENCFF212ARN	CD14-positive-monocyte|H3K79me2|None
ENCFF541PPZ	smooth-muscle-cell|H2AFZ|None
ENCFF898BGN	SK-N-SH|H4K20me1|None
ENCFF244DCV	neuroepithelial-stem-cell|H3K4me3|None
ENCFF385DSV	H1-hESC|H3K79me1|None
ENCFF986BGX	HCT116|H3K4me1|None
ENCFF206SQG	iPS-DF-19.11|H3K9me3|None
ENCFF007TWN	H9|H2AK5ac|None
ENCFF324FJO	DND-41|H3K9me3|None
ENCFF037SXA	HEK293|H3K9me3|None
ENCFF182DFR	Karpas-422|H3K9me2|None
ENCFF324MMT	kidney-epithelial-cell|H3K4me3|None
ENCFF926IMD	NCI-H929|H3K4me2|None
ENCFF052VWO	mesendoderm|H3K4me3|None
ENCFF739KJL	HepG2|H3K4me2|None
ENCFF940LNW	ES-I3|H3K9ac|None
ENCFF724JXS	HCT116|H3K9ac|None
ENCFF759ILD	mesenchymal-stem-cell|H3K27me3|None
ENCFF327XLP	ES-I3|H3K4me1|None
ENCFF589PLG	trophoblast-cell|H3K18ac|None
ENCFF928TPV	myotube|H3K79me2|None
ENCFF018CAH	IMR-90|H3K4me3|None
ENCFF915XUY	HCT116|H3K4me2|None
ENCFF328CAW	gastrocnemius-medialis|H3K9me3|None
ENCFF612FNE	thyroid-gland|H3K4me3|None
ENCFF536JPR	HUES48|H3K4me1|None
ENCFF964VDM	PC-3|H3K9me2|None
ENCFF685BGH	KMS-11|H2AFZ|None
ENCFF957RDK	KOPT-K1|H3K36me3|None
ENCFF362FSB	skeletal-muscle-cell|H3K4me3|None
ENCFF532AGT	HepG2|H3K4me1|None
ENCFF515UPU	A549|H3K4me3|ethanol
ENCFF221DPX	fibroblast-of-arm|H2AFZ|None
ENCFF987CBQ	H1-hESC|H3K23me2|None
ENCFF682KVR	neuroepithelial-stem-cell|H3K36me3|None
ENCFF040YWL	NCI-H929|H2AFZ|None
ENCFF018TUB	A549|H3K4me2|ethanol
ENCFF433AOE	foreskin-fibroblast|H3K36me3|None
ENCFF993ETS	H9|H4K5ac|None
ENCFF433OAE	WI38|H3K4me3|afimoxifene
ENCFF561IYW	induced-pluripotent-stem-cell|H2AFZ|None
ENCFF192GHN	cardiac-mesoderm|H3K4me3|None
ENCFF315NAV	H1-hESC|H2BK12ac|None
ENCFF200BRY	HUES64|H3K4me1|None
ENCFF964GEQ	MM.1S|H3K27me3|None
ENCFF360STR	trophoblast-cell|H3K23ac|None
ENCFF582NFR	U2OS|H3K9me3|None
ENCFF869PUE	H7-hESC|H3K27me3|None
ENCFF261XLO	gastrocnemius-medialis|H3K27me3|None
ENCFF937WLG	HCT116|H4K20me1|None
ENCFF563NUW	neural-progenitor-cell|H3F3A|None
ENCFF837OBR	neuroepithelial-stem-cell|H3K4me1|None
ENCFF286TNR	iPS-20b|H3K27me3|None
ENCFF179UYG	mid-neurogenesis-radial-glial-cells|H3K4me1|None
ENCFF277NRX	SK-N-SH|H3K27me3|None
ENCFF988SUI	trophoblast-cell|H2AFZ|None
ENCFF159IYQ	endothelial-cell-of-umbilical-vein|H3K36me3|None
ENCFF435HDB	endodermal-cell|H3K27ac|None
ENCFF810VRF	mononuclear-cell|H3K4me1|None
ENCFF426HSL	NT2/D1|H3K9me3|None
ENCFF887YAV	KOPT-K1|H3K27ac|None
ENCFF129GMS	IMR-90|H3K4me1|None
ENCFF995ILL	heart-left-ventricle|H3K36me3|None
ENCFF434CLI	Caco-2|H3K4me3|None
ENCFF957INX	MM.1S|H3K27ac|None
ENCFF061ENO	mid-neurogenesis-radial-glial-cells|H3K9me3|None
ENCFF222RPQ	radial-glial-cell|H3K4me3|None
ENCFF306POF	mesendoderm|H3K9ac|None
ENCFF886RYH	neural-cell|H3F3A|None
ENCFF890ZWD	gastrocnemius-medialis|H3K4me1|None
ENCFF038DDS	K562|H3K27ac|None
ENCFF488APE	H7-hESC|H3K36me3|None
ENCFF268EFC	myotube|H3K4me3|None
ENCFF268HMO	GM12878|H3K36me3|None
ENCFF425YGL	hepatocyte|H2AFZ|None
ENCFF054TNF	mesenchymal-stem-cell|H2AK5ac|None
ENCFF975NLT	H7-hESC|H3K4me3|None
ENCFF543GQH	fibroblast-of-dermis|H3K4me1|None
ENCFF327BFN	induced-pluripotent-stem-cell|H3K4me3|None
ENCFF390JLU	Karpas-422|H3K9me3|None
ENCFF813YSM	PC-9|H3K9me3|None
ENCFF520BBF	large-intestine|H3K36me3|None
ENCFF938KHV	smooth-muscle-cell|H3K9ac|None
ENCFF096ZZK	H9|H3K79me2|None
ENCFF748NZC	neural-cell|H3K4me2|None
ENCFF639UBT	IMR-90|H3K36me3|None
ENCFF998LFJ	thoracic-aorta|H3K4me3|None
ENCFF308JCR	OCI-LY1|H3K4me3|None
ENCFF351SWW	endothelial-cell-of-umbilical-vein|H3K79me2|None
ENCFF156RHD	H1-hESC|H3K27me3|None
ENCFF124YNL	Panc1|H3K4me1|None
ENCFF193WOX	brain-microvascular-endothelial-cell|H3K4me3|None
ENCFF785OQJ	DOHH2|H3K27me3|None
ENCFF433KCX	neutrophil|H3K4me1|None
ENCFF921VYH	IMR-90|H3K79me2|None
ENCFF562CAI	H9|H3K14ac|None
ENCFF588SEL	SUDHL6|H3K9me2|None
ENCFF730BVO	IMR-90|H3K27ac|None
ENCFF594HWM	iPS-20b|H3K9ac|None
ENCFF924UXN	Loucy|H3K4me1|None
ENCFF635FOC	fibroblast-of-lung|H3K9me3|None
ENCFF390EFC	H9|H3K4me2|None
ENCFF622AJL	fibroblast-of-villous-mesenchyme|H3K4me3|None
ENCFF259EQT	PC-9|H3K4me1|None
ENCFF280WTT	bipolar-neuron|H3K27me3|None
ENCFF535MQV	radial-glial-cell|H3K4me1|None
ENCFF053EMF	neural-progenitor-cell|H3K27me3|None
ENCFF737VLP	keratinocyte|H3K9me3|None
ENCFF898QWY	mononuclear-cell|H3K9me3|None
ENCFF699QNO	kidney-epithelial-cell|H3K36me3|None
ENCFF840OQH	mesendoderm|H3K79me1|None
ENCFF580XTE	induced-pluripotent-stem-cell|H3K27me3|None
ENCFF319YFS	OCI-LY7|H2AFZ|None
ENCFF910DAZ	DOHH2|H3K4me3|None
ENCFF524PMT	HepG2|H3K36me3|None
ENCFF858GTA	fibroblast-of-lung|H3K9ac|None
ENCFF360CQR	HeLa-S3|H3K4me1|None
ENCFF252HJC	SK-N-SH|H3K27me3|all-trans-retinoic-acid
ENCFF683ZGI	SK-N-MC|H3K4me1|None
ENCFF947OPX	adrenal-gland|H3K36me3|None
ENCFF706DUV	skeletal-muscle-myoblast|H3K9me3|None
ENCFF827NFH	esophagus-squamous-epithelium|H3K4me3|None
ENCFF584NYC	iPS-20b|H3K4me1|None
ENCFF826VIT	cardiac-muscle-cell|H3K4me3|None
ENCFF890CXZ	body-of-pancreas|H3K36me3|None
ENCFF192DHQ	KMS-11|H3K4me3|None
ENCFF807OBU	SK-N-SH|H3K4me2|None
ENCFF996QGW	IMR-90|H2BK20ac|None
ENCFF765EBO	PC-3|H3K4me3|None
ENCFF985VCY	osteoblast|H3K27me3|None
ENCFF968YNG	NT2/D1|H3K27me3|None
ENCFF493TKQ	CD14-positive-monocyte|H3K4me1|None
ENCFF159VKJ	K562|H3K4me1|None
ENCFF550IIC	CD14-positive-monocyte|H2AFZ|None
ENCFF603AYP	Peyer's-patch|H3K4me3|None
ENCFF810PYC	mammary-epithelial-cell|H3K4me1|None
ENCFF099HVR	SK-N-SH|H3K4me1|None
ENCFF806ZXA	OCI-LY3|H3K9me3|None
ENCFF628MEK	RWPE1|H3K27ac|None
ENCFF696LOT	B-cell|H3K27ac|None
ENCFF179HRE	OCI-LY3|H3K79me2|None
ENCFF054TZE	OCI-LY7|H4K20me1|None
ENCFF151IYT	fibroblast-of-arm|H3K9me2|None
ENCFF125XCN	H9|H3K9me3|None
ENCFF005LQD	fibroblast-of-dermis|H2AFZ|None
ENCFF537IXS	A673|H3K9me3|None
ENCFF201UKS	hepatocyte|H3K9ac|None
ENCFF459UTL	mesendoderm|H3K27ac|None
ENCFF789BVZ	Karpas-422|H3K4me1|None
ENCFF609VEG	HUES64|H3K4me3|None
ENCFF026BWF	mesendoderm|H2AK5ac|None
ENCFF733ERZ	PC-9|H3K27me3|None
ENCFF888VKI	radial-glial-cell|H3K36me3|None
ENCFF626ZXA	myotube|H3K27ac|None
ENCFF072EIZ	hepatocyte|H3K9me2|None
