ENCFF847OWL	HepG2|CpG|WGBS
ENCFF877IOX	esophagus|CHH|WGBS
ENCFF831OYO	heart-right-ventricle|CpG|WGBS
ENCFF477GKI	adipose-tissue|CpG|WGBS
ENCFF014XRB	fibroblast-of-arm|CHG|WGBS
ENCFF913UZU	psoas-muscle|CpG|WGBS
ENCFF847JKP	iPS-DF-6.9|CHH|WGBS
ENCFF304VHE	urinary-bladder|CHG|WGBS
ENCFF874VKO	ovary|CHH|WGBS
ENCFF742RFP	mammary-epithelial-cell|CHH|WGBS
ENCFF789XRU	adipose-tissue|CHG|WGBS
ENCFF360OLG	neural-stem-progenitor-cell|CHG|WGBS
ENCFF702EVG	ovary|CHG|WGBS
ENCFF975CVU	H9|CpG|WGBS
ENCFF699TSO	stomach|CHH|WGBS
ENCFF168HTX	thymus|CpG|WGBS
ENCFF188WGW	heart-right-ventricle|CHH|WGBS
ENCFF250XVE	esophagus|CHG|WGBS
ENCFF288YTY	IMR-90|CpG|WGBS
ENCFF698WVT	mesendoderm|CHH|WGBS
ENCFF390EXZ	large-intestine|CHH|WGBS
ENCFF110AZO	right-cardiac-atrium|CpG|WGBS
ENCFF714SUO	fibroblast-of-arm|CpG|WGBS
ENCFF379ZXG	H1-hESC|CHG|WGBS
ENCFF846NKO	mesenchymal-stem-cell|CHG|WGBS
ENCFF017JID	aorta|CHG|WGBS
ENCFF553HJV	aorta|CpG|WGBS
ENCFF204VWK	small-intestine|CHG|WGBS
ENCFF730NQT	spleen|CpG|WGBS
ENCFF588IUK	smooth-muscle-cell|CpG|WGBS
ENCFF986WDE	fibroblast-of-arm|CHH|WGBS
ENCFF721VBY	lung|CHH|WGBS
ENCFF896ESM	IMR-90|CHH|WGBS
ENCFF601NBW	H1-hESC|CpG|WGBS
ENCFF247ILV	ovary|CpG|WGBS
ENCFF927XBL	psoas-muscle|CHH|WGBS
ENCFF215CKT	neural-stem-progenitor-cell|CpG|WGBS
ENCFF859RPH	iPS-DF-6.9|CHG|WGBS
ENCFF661ORW	pancreas|CHG|WGBS
ENCFF816PMG	hepatocyte|CHH|WGBS
ENCFF375AGR	heart-right-ventricle|CHG|WGBS
ENCFF962JBN	trophoblast-cell|CHG|WGBS
ENCFF149NUQ	K562|CHH|WGBS
ENCFF936EAQ	hepatocyte|CHG|WGBS
ENCFF774GXJ	skeletal-muscle-myoblast|CpG|WGBS
ENCFF494IMP	mammary-epithelial-cell|CHG|WGBS
ENCFF266NGW	small-intestine|CpG|WGBS
ENCFF519PPJ	sigmoid-colon|CHH|WGBS
ENCFF204WSG	spleen|CHG|WGBS
ENCFF086KJC	HepG2|CHH|WGBS
ENCFF209DKJ	right-cardiac-atrium|CHH|WGBS
ENCFF937SZG	right-cardiac-atrium|CHG|WGBS
ENCFF026NBR	stomach|CHG|WGBS
ENCFF833HAZ	heart-left-ventricle|CHG|WGBS
ENCFF987LCQ	adrenal-gland|CHH|WGBS
ENCFF340WWH	pancreas|CHH|WGBS
ENCFF071XMO	H9|CHH|WGBS
ENCFF140RJJ	mesendoderm|CHG|WGBS
ENCFF663LPF	smooth-muscle-cell|CHH|WGBS
ENCFF500DKA	pancreas|CpG|WGBS
ENCFF906BGH	iPS-DF-19.11|CHG|WGBS
ENCFF030NLF	muscle-of-leg|CHH|WGBS
ENCFF684UPN	trophoblast-cell|CHH|WGBS
ENCFF718CZQ	skeletal-muscle-myoblast|CHG|WGBS
ENCFF684JHX	heart-left-ventricle|CpG|WGBS
ENCFF404OJT	neural-stem-progenitor-cell|CHH|WGBS
ENCFF430MOL	thymus|CHG|WGBS
ENCFF417VRB	H1-hESC|CHH|WGBS
ENCFF083GEQ	spleen|CHH|WGBS
ENCFF223PYT	aorta|CHH|WGBS
ENCFF721BJM	GM12878|CHG|WGBS
ENCFF965YBN	K562|CHG|WGBS
ENCFF288JEJ	iPS-DF-19.11|CHH|WGBS
ENCFF801OHX	mesenchymal-stem-cell|CpG|WGBS
ENCFF699GKH	mammary-epithelial-cell|CpG|WGBS
ENCFF216DJL	adrenal-gland|CpG|WGBS
ENCFF256WDR	trophoblast-cell|CpG|WGBS
ENCFF981JED	H9|CHG|WGBS
ENCFF068IHF	adipose-tissue|CHH|WGBS
