ENCFF809CZV	K562|REST|None
ENCFF277ZAR	A549|CTCF|None
ENCFF873NGI	CD14-positive-monocyte|CTCF|None
ENCFF659XDV	HepG2|FLAG-HLF|None
ENCFF817CLT	MCF-7|YBX1|None
ENCFF825ZCR	K562|BRD4|None
ENCFF129QWO	K562|ZZZ3|None
ENCFF496COS	A549|SREBF2|None
ENCFF156EYN	GM12878|POLR2AphosphoS2|None
ENCFF007LBS	K562|eGFP-DDX20|None
ENCFF451KPE	HEK293|eGFP-ZNF16|None
ENCFF850NDA	MCF-7|ZNF512B|None
ENCFF731RJG	A549|ZC3H11A|None
ENCFF928YOZ	GM12878|RXRA|None
ENCFF770USX	H1-hESC|USF1|None
ENCFF506SNO	MCF-7|RFX1|None
ENCFF577XYS	MCF-7|ZHX2|None
ENCFF317SWK	K562|CBFA2T2|None
ENCFF888TCK	K562|PTBP1|None
ENCFF806GBQ	H1-hESC|SAP30|None
ENCFF214VWR	K562|IKZF1|None
ENCFF141XEH	K562|eGFP-NR2C1|None
ENCFF766ZRX	endothelial-cell-of-umbilical-vein|POLR2AphosphoS5|None
ENCFF887EVV	GM12878|TARDBP|None
ENCFF598QQF	MCF-7|SIN3A|None
ENCFF950VDB	K562|eGFP-GTF2A2|None
ENCFF967BIX	K562|eGFP-NFE2L1|None
ENCFF293PVG	NT2/D1|YY1|None
ENCFF690IGM	H1-hESC|REST|None
ENCFF723ESM	T47D|ESR1|dimethyl-sulfoxide
ENCFF710XYY	K562|IRF1|interferon-alpha
ENCFF857AXB	K562|TRIM24|None
ENCFF793VQT	HepG2|ATF7|None
ENCFF217VKS	HEK293|eGFP-ZNF2|None
ENCFF682QKR	K562|eGFP-VEZF1|None
ENCFF549HMO	K562|KAT8|None
ENCFF680USG	K562|E2F6|None
ENCFF241JCK	MCF-7|MAZ|None
ENCFF679UWZ	GM12878|WRNIP1|None
ENCFF439OCI	fibroblast-of-villous-mesenchyme|CTCF|None
ENCFF271FAK	GM12878|YY1|None
ENCFF599ZQS	GM12878|SMC3|None
ENCFF840ZAM	K562|eGFP-RELA|None
ENCFF310IQK	hepatocyte|CTCF|None
ENCFF284LLF	K562|ZC3H11A|None
ENCFF479GJB	GM20000|CTCF|None
ENCFF331QXX	HepG2|SNRNP70|None
ENCFF015OEW	A549|REST|ethanol
ENCFF813YNJ	HepG2|TCF12|None
ENCFF017OFK	HepG2|CEBPB|None
ENCFF553RWU	HEK293|eGFP-ZNF121|None
ENCFF276NIW	HEK293|eGFP-ZNF692|None
ENCFF391WQH	MCF-7|RCOR1|None
ENCFF564TKQ	HEK293T|SP1|None
ENCFF887HRY	HEK293|eGFP-ZFHX2|None
ENCFF861LCH	GM12864|CTCF|None
ENCFF248NPI	HeLa-S3|EZH2|None
ENCFF115PUW	HEK293|eGFP-ZNF843|None
ENCFF131VZY	K562|eGFP-GTF2E2|None
ENCFF554HGM	GM12892|POLR2A|None
ENCFF399XGL	HEK293T|LEF1|None
ENCFF329HLY	K562|ZKSCAN1|None
ENCFF878CYO	MCF-7|MLLT1|None
ENCFF049WCA	HepG2|SOX6|None
ENCFF299JOC	K562|MTA2|None
ENCFF535XNA	HepG2|RBFOX2|None
ENCFF070WGY	HepG2|ZNF143|None
ENCFF413TLE	RWPE2|CTCF|None
ENCFF779ZST	K562|TEAD4|None
ENCFF239TCZ	DND-41|CTCF|None
ENCFF085CNS	SK-N-MC|FOXP2|None
ENCFF190DJC	HEK293T|ZFX|None
ENCFF743LHV	H1-hESC|GABPA|None
ENCFF074NQW	HEK293|eGFP-ZNF239|None
ENCFF142FZS	GM12878|BATF|None
ENCFF918BVV	MCF-7|JUND|None
ENCFF892BNB	K562|ZEB2|None
ENCFF496MCE	HepG2|HNRNPUL1|None
ENCFF143KGD	GM12878|HDGF|None
ENCFF355CKA	GM12878|KDM1A|None
ENCFF752ETB	K562|LARP7|None
ENCFF403GZC	K562|IRF2|None
ENCFF695HIB	HepG2|FLAG-NFIA_isoform1|None
ENCFF212GOZ	HEK293|eGFP-ZNF24|None
ENCFF878JMO	H1-hESC|SIN3A|None
ENCFF498QCT	foreskin-fibroblast|CTCF|None
ENCFF503PQW	HepG2|FLAG-ELF3|None
ENCFF593FWV	K562|SIX5|None
ENCFF771TNK	K562|ARID1B|None
ENCFF657PDF	H1-hESC|SUZ12|None
ENCFF412MLF	H1-hESC|KDM1A|None
ENCFF578XIP	GM12878|FOXK2|None
ENCFF765IVS	HepG2|HNF4G|None
ENCFF594KPG	K562|NFRKB|None
ENCFF557SFL	K562|MGA|None
ENCFF315MWD	GM12891|PAX5|None
ENCFF467REJ	K562|ZNF407|None
ENCFF322IIV	K562|KHSRP|None
ENCFF249ZSW	K562|KMT2B|None
ENCFF735JKV	HEK293T|TARDBP|None
ENCFF305PVK	HEK293|eGFP-ZNF391|None
ENCFF273CDX	A549|ESRRA|None
ENCFF616IRT	MCF-7|SREBF1|None
ENCFF606VIF	HeLa-S3|ZHX1|None
ENCFF112SWI	GM12878|MTA3|None
ENCFF288DNT	A549|CBX8|None
ENCFF195SHB	A549|RFX5|None
ENCFF385TGU	K562|JUN|interferon-alpha
ENCFF973ITD	K562|SRSF7|None
ENCFF856FOP	HepG2|LCORL|None
ENCFF300QIO	GM12892|PAX5|None
ENCFF384YHL	MCF-7|MTA3|None
ENCFF505BGP	WERI-Rb-1|CTCF|None
ENCFF885XWO	HepG2|RCOR1|None
ENCFF251SPU	K562|SOX6|None
ENCFF429LKK	H1-hESC|BACH1|None
ENCFF190IHG	K562|MEF2A|None
ENCFF324FFQ	IMR-90|SMC3|None
ENCFF234DGQ	HepG2|SMARCC2|None
ENCFF059ELL	MCF-10A|FOS|afimoxifene
ENCFF818TQX	MCF-7|eGFP-FOSL2|None
ENCFF851TCR	MCF-7|ZBTB1|None
ENCFF579HZW	HepG2|FOXP1|None
ENCFF660KIF	A549|RAD21|None
ENCFF506PIV	HL-60|SPI1|None
ENCFF822HZV	HEK293|eGFP-ZIK1|None
ENCFF694QDE	HEK293|eGFP-ZNF624|None
ENCFF867XUT	HepG2|NBN|None
ENCFF148GRM	K562|ZSCAN29|None
ENCFF588MFA	HEK293|eGFP-ZNF101|None
ENCFF281OWZ	lung|CTCF|None
ENCFF369MVH	HEK293|eGFP-ZNF701|None
ENCFF016SNP	HEK293|eGFP-ZFP69B|None
ENCFF279EVE	HCT116|YY1|None
ENCFF867MGI	HepG2|FLAG-KDM6A|None
ENCFF542JWQ	MCF-7|POLR2A|None
ENCFF909FRB	K562|ZBTB33|None
ENCFF529ZQW	GM12878|ELF1|None
ENCFF738EAY	K562|CSDE1|None
ENCFF634TZO	GM06990|CTCF|None
ENCFF745PYF	DOHH2|EZH2phosphoT487|None
ENCFF261LSG	HepG2|FLAG-MIER3|None
ENCFF736WUM	GM12878|CEBPB|None
ENCFF056ESE	HCT116|CTCF|None
ENCFF157QSU	HEK293|eGFP-ZNF223|None
ENCFF825LUV	fibroblast-of-dermis|CTCF|None
ENCFF307XFM	IMR-90|CTCF|None
ENCFF633NFW	PFSK-1|REST|None
ENCFF356LKG	MCF-7|CREB1|None
ENCFF632ZHY	K562|YY1|None
ENCFF442JHW	HEK293|eGFP-ZNF704|None
ENCFF811PBG	HEK293|eGFP-ZNF433|None
ENCFF467MXY	HepG2|FLAG-TEAD3|None
ENCFF208GHS	liver|RAD21|None
ENCFF722HUF	endothelial-cell-of-umbilical-vein|FOS|None
ENCFF420KJB	MCF-7|MTA2|None
ENCFF470INJ	HepG2|FLAG-HMG20A|None
ENCFF690NDS	HEK293|eGFP-PRDM1|None
ENCFF633JFK	HEK293|eGFP-ZNF195|None
ENCFF922UPX	A549|WDR5|None
ENCFF038PPG	K562|ESRRA|None
ENCFF970WRP	K562|eGFP-ZNF740|None
ENCFF457COE	K562|MXI1|None
ENCFF199EDM	GM12878|GATAD2B|None
ENCFF132TXF	K562|NFIC|None
ENCFF393ZEE	GM12878|IRF4|None
ENCFF150MRK	HEK293T|L3MBTL2|None
ENCFF652LEH	fibroblast-of-upper-leg-skin|CTCF|None
ENCFF553NBH	MCF-7|SIX4|None
ENCFF819WBT	HEK293|eGFP-ZNF791|None
ENCFF089ECI	HEK293|eGFP-ZNF493|None
ENCFF204LJN	HEK293|eGFP-ZNF300|None
ENCFF600EIK	HEK293|eGFP-ZNF148|None
ENCFF099SQG	HepG2|ARNT|None
ENCFF284NPD	HepG2|FLAG-MLX|None
ENCFF354YJR	GM12878|HSF1|None
ENCFF829IJE	HEK293|eGFP-ZNF785|None
ENCFF192LJQ	A549|ZBTB33|ethanol
ENCFF761CZS	neural-cell|CTCF|None
ENCFF073LLB	HEK293|eGFP-ZNF664|None
ENCFF743EQV	MCF-7|NFIB|None
ENCFF662LUH	K562|SMC3|None
ENCFF356XXS	MCF-7|FOXK2|None
ENCFF710ZFM	K562|MIER1|None
ENCFF520IRJ	GM12878|CHD4|None
ENCFF655AOY	liver|ATF3|None
ENCFF529CTW	K562|JUNB|None
ENCFF183ZNB	H1-hESC|HDAC2|None
ENCFF752RBV	K562|eGFP-BACH1|None
ENCFF484AVP	HEK293T|ARNT|None
ENCFF465IMC	GM12878|RFX5|None
ENCFF644HVY	HEK293|eGFP-ZNF18|None
ENCFF910TER	B-cell|CTCF|None
ENCFF272CWK	K562|ARID3A|None
ENCFF550LEW	HEK293|eGFP-ZSCAN4|None
ENCFF457YJH	A549|ELF1|ethanol
ENCFF223VHR	HepG2|SMARCE1|None
ENCFF899FIQ	Ishikawa|CTCF|dimethyl-sulfoxide
ENCFF487OYJ	MCF-7|HSF1|None
ENCFF721SZO	HepG2|FLAG-CREB1|None
ENCFF371FZO	K562|NCOA1|None
ENCFF399PNA	brain-microvascular-endothelial-cell|CTCF|None
ENCFF799ASV	H1-hESC|FOSL1|None
ENCFF633LKQ	GM12891|POLR2AphosphoS5|None
ENCFF791VHV	A549|FOXA1|ethanol
ENCFF043GDK	LNCAP|CTCF|None
ENCFF393NBO	GM12878|SRF|None
ENCFF133MYR	HEK293|eGFP-ZNF19|None
ENCFF033ZLO	OCI-LY3|CTCF|None
ENCFF044TCD	K562|eGFP-ZNF589|None
ENCFF317FDT	K562|CUX1|None
ENCFF205NPO	HepG2|NONO|None
ENCFF773RMX	22Rv1|CTCF|17β-hydroxy-5α-androstan-3-one
ENCFF108TYZ	HEK293|eGFP-ZNF398|None
ENCFF565ADA	K562|BRCA1|None
ENCFF847XXR	IMR-90|FOS|None
ENCFF854FKK	MCF-10A|STAT3|ethanol
ENCFF835YGE	GM12878|RAD51|None
ENCFF793YUM	HepG2|FLAG-RERE|None
ENCFF991GTC	H1-hESC|CTCF|None
ENCFF034KAQ	SK-N-SH|POLR2AphosphoS5|None
ENCFF286JTK	K562|eGFP-KLF13|None
ENCFF446BHY	GM12878|BMI1|None
ENCFF322AYC	H1-hESC|RXRA|None
ENCFF772WLM	K562|ZNF318|None
ENCFF548ITQ	K562|SMAD5|None
ENCFF436JKE	K562|RFX5|None
ENCFF548PPV	K562|IRF1|interferon-gamma
ENCFF977MOV	liver|TAF1|None
ENCFF993AAD	A549|YY1|ethanol
ENCFF920GRL	HEK293|eGFP-ZNF600|None
ENCFF058ADL	MCF-7|ZNF579|None
ENCFF500LMX	A549|ETS1|ethanol
ENCFF369VYR	HEK293|eGFP-GLIS2|None
ENCFF632RQY	HepG2|IKZF1|None
ENCFF916OUG	K562|STAT5A|None
ENCFF735IEO	GM12865|CTCF|None
ENCFF037UMP	K562|MLLT1|None
ENCFF619KWZ	K562|ZBED1|None
ENCFF852MHW	HepG2|TCF7|None
ENCFF417QTQ	H1-hESC|POLR2AphosphoS5|None
ENCFF428RTI	K562|HDGF|None
ENCFF999IUR	HEK293|eGFP-KLF1|None
ENCFF138OAF	liver|MAX|None
ENCFF457LFN	GM12878|GABPA|None
ENCFF126GSZ	K562|TOE1|None
ENCFF778ZQK	HEK293|eGFP-ZNF23|None
ENCFF194RQM	H1-hESC|CBX3|None
ENCFF648ULE	Ishikawa|NR3C1|dexamethasone
ENCFF196VRG	K562|MYC|None
ENCFF880LTL	C4-2B|CTCF|None
ENCFF635YAT	hepatocyte|EZH2|None
ENCFF564LOI	HEK293|eGFP-ZNF658|None
ENCFF161EHH	K562|DDX20|None
ENCFF159OAX	K562|CREM|None
ENCFF685AMZ	HepG2|PLRG1|None
ENCFF826HDC	K562|JUND|None
ENCFF502WSB	HEK293|eGFP-INSM2|None
ENCFF014VRD	K562|eGFP-MEF2D|None
ENCFF870ESB	K562|LEF1|None
ENCFF844ZVZ	HepG2|ZBTB7A|None
ENCFF118NSY	HEK293|eGFP-OSR2|None
ENCFF222NHS	HepG2|SIN3A|None
ENCFF821JKR	K562|TRIM28|None
ENCFF113GDJ	HepG2|FLAG-ZNF3|None
ENCFF346NMC	K562|TAF15|None
ENCFF154NAC	A549|SP1|ethanol
ENCFF041QPS	GM12878|EED|None
ENCFF388BTU	Panc1|REST|None
ENCFF543ITW	GM12892|POLR2AphosphoS5|None
ENCFF228LSW	HepG2|CREB1|None
ENCFF791OTS	endothelial-cell-of-umbilical-vein|POLR2A|None
ENCFF788VTS	GM12878|PKNOX1|None
ENCFF611LKA	HepG2|BCLAF1|None
ENCFF691HAG	K562|RAD51|None
ENCFF897HDW	GM08714|ZNF274|None
ENCFF497YYA	HEK293|eGFP-ZNF354C|None
ENCFF638SAT	K562|eGFP-CEBPG|None
ENCFF144DMD	K562|THAP1|None
ENCFF497ZJO	HepG2|FLAG-DNMT3B|None
ENCFF293PUF	MCF-7|ZKSCAN1|None
ENCFF645LHM	GM12878|CUX1|None
ENCFF641LIZ	HeLa-S3|MAFF|None
ENCFF322EMJ	HEK293|eGFP-ZNF697|None
ENCFF952CNN	GM12878|PAX5|None
ENCFF469LVB	IMR-90|CEBPB|None
