#Supplementary Table 4. Distribution of negative variants on chromosomes			
Chromosome	Variant number	P value	FDR
chr1	481747	3.80E-52	6.09E-52
chr2	469434	1.12E-44	1.68E-44
chr3	399268	3.26E-291	6.52E-291
chr4	386892	0	0
chr5	351509	1.54E-57	2.64E-57
chr6	355995	0	0
chr7	330316	0	0
chr8	316968	0	0
chr9	252362	0.99999737	1
chr10	289023	0	0
chr11	284035	0	0
chr12	276605	0	0
chr13	193384	0.999997931	1
chr14	182857	1	1
chr15	176904	0.99999996	1
chr16	189682	0	0
chr17	164966	1.91E-183	3.53E-183
chr18	165374	0	0
chr19	137389	0	0
chr20	136207	0	0
chr21	80533	0.999998761	1
chr22	84097	1	1
chrX	167114	0.999999705	1
chrY	0	1	1
